Facility ID,Facility Name,State,Region,Hospital Ownership,Hospital Type,Experience_Star,Readmission_Rate,HAI_SIR_Avg,MSPB,Quality,Value_Score,Focus_Flag
520037,MARSHFIELD MEDICAL CENTER,WI,Midwest,Voluntary non-profit - Church,Acute Care Hospitals,2.0,16.9,0.5851999999999999,0.99,54.25124415623586,54.79923652145037,Low value (bottom 20%)
190140,FRANKLIN MEDICAL CENTER,LA,South,Government - Hospital District or Authority,Acute Care Hospitals,,15.3,1.544,1.18,64.67350324234654,54.80805359520894,Low value (bottom 20%)
110236,CHI MEMORIAL HOSPITAL- GEORGIA,GA,South,Voluntary non-profit - Private,Acute Care Hospitals,,14.8,,1.08,59.21052631578946,54.82456140350875,Low value (bottom 20%)
440102,LINCOLN MEDICAL CENTER,TN,South,Government - Local,Acute Care Hospitals,3.0,14.9,1.03,1.23,67.45387824863018,54.84055142165055,Low value (bottom 20%)
100122,NORTH OKALOOSA MEDICAL CENTER,FL,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.5,0.48600000000000004,1.03,56.504297994269336,54.858541742009066,Low value (bottom 20%)
320063,CARLSBAD MEDICAL CENTER,NM,West,Voluntary non-profit - Other,Acute Care Hospitals,1.0,14.9,0.0,1.08,59.29824561403509,54.90578297595841,Low value (bottom 20%)
100302,ORLANDO HEALTH ST CLOUD HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,2.0,17.2,0.407,0.98,53.831247172372194,54.929844053441016,Low value (bottom 20%)
450011,CHI ST JOSEPH HEALTH REGIONAL HOSPITAL,TX,South,Voluntary non-profit - Private,Acute Care Hospitals,2.0,14.9,1.4243999999999999,1.07,58.804604634796156,54.957574425043134,Low value (bottom 20%)
100204,HCA FLORIDA NORTH FLORIDA HOSPITAL,FL,South,Proprietary,Acute Care Hospitals,2.0,16.9,0.4346666666666666,1.0,55.007959248646934,55.007959248646934,Low value (bottom 20%)
290057,HENDERSON HOSPITAL,NV,West,Proprietary,Acute Care Hospitals,2.0,16.4,0.3224,1.05,57.76529432463681,55.01456602346363,Low value (bottom 20%)
190098,OCHSNER LSU HEALTH SHREVEPORT,LA,South,Voluntary non-profit - Private,Acute Care Hospitals,3.0,15.8,0.9652000000000001,1.16,63.832252551148635,55.027803923404,Low value (bottom 20%)
330250,THE UNIVERSITY OF VERMONT HEALTH NETWORK  - CHAMPL,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.4,1.0814,0.98,53.949881867993774,55.05089986529977,Low value (bottom 20%)
340132,MARIA PARHAM MEDICAL CENTER,NC,South,Proprietary,Acute Care Hospitals,1.0,15.5,0.211,1.01,55.60599205750767,55.05543768070066,Low value (bottom 20%)
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,IL,Midwest,Voluntary non-profit - Church,Acute Care Hospitals,2.0,16.2,0.6933999999999999,1.03,56.77750967677073,55.123795802690026,Low value (bottom 20%)
370056,MEMORIAL HEALTH,OK,South,Government - Hospital District or Authority,Acute Care Hospitals,2.0,16.5,1.0852,0.97,53.492183180013065,55.14658059795161,Low value (bottom 20%)
330044,WYNN HOSPITAL,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,15.6,0.6636,1.08,59.558890061830795,55.147120427621104,Low value (bottom 20%)
330104,NYACK HOSPITAL,NY,Northeast,Voluntary non-profit - Private,Acute Care Hospitals,2.0,16.0,0.3102,1.08,59.58100839491279,55.16760036565999,Low value (bottom 20%)
250061,YALOBUSHA GENERAL HOSPITAL,MS,South,Government - Local,Acute Care Hospitals,,15.4,,0.93,51.315789473684205,55.17826825127334,Low value (bottom 20%)
140011,HERRIN HOSPITAL,IL,Midwest,Voluntary non-profit - Private,Acute Care Hospitals,3.0,17.0,1.5265000000000002,1.01,55.74749912029356,55.19554368345897,Low value (bottom 20%)
140084,VISTA MEDICAL CENTER EAST,IL,Midwest,Proprietary,Acute Care Hospitals,1.0,15.4,0.3703333333333334,1.0,55.2436367901607,55.2436367901607,Low value (bottom 20%)
